DATE,DATA
02-Jan-2020,-0.795478273
03-Jan-2020,-0.861451363
06-Jan-2020,-0.858248257
07-Jan-2020,-0.837203533
08-Jan-2020,-0.806834526
09-Jan-2020,-0.824106801
10-Jan-2020,-0.859790676
13-Jan-2020,-0.845800105
14-Jan-2020,-0.877167544
15-Jan-2020,-0.903874251
16-Jan-2020,-0.882099636
17-Jan-2020,-0.839299686
21-Jan-2020,-0.878611669
22-Jan-2020,-0.896163858
23-Jan-2020,-0.931995778
24-Jan-2020,-0.963702015
27-Jan-2020,-1.034453961
28-Jan-2020,-1.005880117
29-Jan-2020,-1.044529587
30-Jan-2020,-1.058213331
31-Jan-2020,-1.077340734
03-Feb-2020,-1.08333064
04-Feb-2020,-1.028437132
05-Feb-2020,-0.983516326
06-Feb-2020,-1.011320526
07-Feb-2020,-1.045780085
10-Feb-2020,-1.053267417
11-Feb-2020,-1.042559889
12-Feb-2020,-1.008352066
13-Feb-2020,-1.025866854
14-Feb-2020,-1.04167198
18-Feb-2020,-1.072724484
19-Feb-2020,-1.074258829
20-Feb-2020,-1.112205656
21-Feb-2020,-1.152510949
24-Feb-2020,-1.186348523
25-Feb-2020,-1.212067679
26-Feb-2020,-1.204670964
27-Feb-2020,-1.196367295
28-Feb-2020,-1.239088533
02-Mar-2020,-1.235486149
03-Mar-2020,-1.209048589
04-Mar-2020,-1.155117587
05-Mar-2020,-1.224094978
06-Mar-2020,-1.402225605
09-Mar-2020,-1.609494185
10-Mar-2020,-1.376339142
11-Mar-2020,-1.4621619
12-Mar-2020,-1.269075007
13-Mar-2020,-1.220512346
16-Mar-2020,-1.395276528
17-Mar-2020,-0.983693041
18-Mar-2020,-0.867753607
19-Mar-2020,-0.82329873
20-Mar-2020,-0.990175003
23-Mar-2020,-1.156909045
24-Mar-2020,-1.167919215
25-Mar-2020,-1.098105278
26-Mar-2020,-1.095277406
27-Mar-2020,-1.181592111
30-Mar-2020,-1.19503766
31-Mar-2020,-1.150226867
01-Apr-2020,-1.285915805
02-Apr-2020,-1.285320434
03-Apr-2020,-1.274771792
06-Apr-2020,-1.244367421
07-Apr-2020,-1.183205541
08-Apr-2020,-1.110196454
09-Apr-2020,-1.130166981
13-Apr-2020,-1.09426377
14-Apr-2020,-1.078583814
15-Apr-2020,-1.214303803
16-Apr-2020,-1.26249936
17-Apr-2020,-1.205071303
20-Apr-2020,-1.247160575
21-Apr-2020,-1.320345658
22-Apr-2020,-1.264592278
23-Apr-2020,-1.30345846
24-Apr-2020,-1.302618754
27-Apr-2020,-1.23612222
28-Apr-2020,-1.291630971
29-Apr-2020,-1.278364058
30-Apr-2020,-1.243723125
01-May-2020,-1.268360915
04-May-2020,-1.255053772
05-May-2020,-1.237913907
06-May-2020,-1.137331134
07-May-2020,-1.230249042
08-May-2020,-1.160894511
11-May-2020,-1.130843358
12-May-2020,-1.174576045
13-May-2020,-1.220990068
14-May-2020,-1.243962294
15-May-2020,-1.204482013
18-May-2020,-1.120757447
19-May-2020,-1.130159532
20-May-2020,-1.163074501
21-May-2020,-1.17998484
22-May-2020,-1.218199033
26-May-2020,-1.155637001
27-May-2020,-1.186513995
28-May-2020,-1.152574332
29-May-2020,-1.199078188
01-Jun-2020,-1.181018634
02-Jun-2020,-1.167030572
03-Jun-2020,-1.082579594
04-Jun-2020,-1.006077738
05-Jun-2020,-0.920810651
08-Jun-2020,-0.948354427
09-Jun-2020,-0.992536332
10-Jun-2020,-1.063728258
11-Jun-2020,-1.207037541
12-Jun-2020,-1.144264899
15-Jun-2020,-1.141321229
16-Jun-2020,-1.07862904
17-Jun-2020,-1.103548649
18-Jun-2020,-1.158181414
19-Jun-2020,-1.160485973
22-Jun-2020,-1.1508281
23-Jun-2020,-1.134736338
24-Jun-2020,-1.176861485
25-Jun-2020,-1.182002634
26-Jun-2020,-1.218482108
29-Jun-2020,-1.211770685
30-Jun-2020,-1.176243391
01-Jul-2020,-1.159451636
02-Jul-2020,-1.163672157
06-Jul-2020,-1.148022073
07-Jul-2020,-1.209626983
08-Jul-2020,-1.190912863
09-Jul-2020,-1.260136894
10-Jul-2020,-1.222015362
13-Jul-2020,-1.231604054
14-Jul-2020,-1.252465998
15-Jul-2020,-1.22620729
16-Jul-2020,-1.244084461
17-Jul-2020,-1.224984267
20-Jul-2020,-1.247685131
21-Jul-2020,-1.259837871
22-Jul-2020,-1.274471277
23-Jul-2020,-1.303024841
24-Jul-2020,-1.292579339
27-Jul-2020,-1.269213754
28-Jul-2020,-1.303147321
29-Jul-2020,-1.285998371
30-Jul-2020,-1.327882204
31-Jul-2020,-1.319390157
03-Aug-2020,-1.294869267
04-Aug-2020,-1.35332054
05-Aug-2020,-1.316866548
06-Aug-2020,-1.33008084
07-Aug-2020,-1.299464714
10-Aug-2020,-1.280291349
11-Aug-2020,-1.221900354
12-Aug-2020,-1.171157676
13-Aug-2020,-1.140380398
14-Aug-2020,-1.123943433
17-Aug-2020,-1.154725867
18-Aug-2020,-1.172200025
19-Aug-2020,-1.15049672
20-Aug-2020,-1.198549675
21-Aug-2020,-1.21956552
24-Aug-2020,-1.208923776
25-Aug-2020,-1.157090404
26-Aug-2020,-1.142797552
27-Aug-2020,-1.063191234
28-Aug-2020,-1.030274484
31-Aug-2020,-1.058713975
01-Sep-2020,-1.119815847
02-Sep-2020,-1.16235549
03-Sep-2020,-1.202030704
04-Sep-2020,-1.102037595
08-Sep-2020,-1.129951551
09-Sep-2020,-1.110569305
10-Sep-2020,-1.136046156
11-Sep-2020,-1.14037037
14-Sep-2020,-1.143826333
15-Sep-2020,-1.146010841
16-Sep-2020,-1.128655048
17-Sep-2020,-1.129594248
18-Sep-2020,-1.112918074
21-Sep-2020,-1.141546105
22-Sep-2020,-1.140185825
23-Sep-2020,-1.14447778
24-Sep-2020,-1.161941485
25-Sep-2020,-1.165111055
